Country,Innings Player,Country Image,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,CP Tremain,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
Australia,CS Serjeant,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,48,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DA Warner,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,104,840,83,406,652,1388,691,73,647
Australia,DC Boon,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,39,264,768,656,582,327,417,326,798,417,1073,297,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DE Bollinger,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,46,,,,,,,,
Australia,DF Whatmore,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DJ Colley,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DJ Cullen,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Australia,DJ Hussey,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,461,,342,728,128,,,,,,
Australia,DJ Worrall,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Australia,DJM Short,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,
Australia,DK Lillee,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,13,,,19,,,,60,29,68,43,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DM Jones,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,141,340,320,937,590,716,1174,472,622,287,469,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DM Wellham,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,42,,,,19,61,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DP Nannes,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Australia,DR Gilbert,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,DR Martyn,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,45,91,30,,,,114,450,532,417,718,878,611,805,655,,,,,,,,,,,,,
Australia,DS Lehmann,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,679,821,,200,520,467,275,89,,,,,,,,,,,,,,
Australia,DT Christian,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,23,,,,,
